site,genus,sp,subsp,common_name,source
OSBY,Rhipidandrus,fulvomaculatus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
JERC,Solenopsis,invicta,,red imported fire ant,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Solenopsis,carolinensus,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
WOOD,Aedes,flavescens,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
WOOD,Aedes,dorsalis,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
WOOD,Aedes,campestris,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
WOOD,Aedes,vexans,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
WOOD,Culiseta,inornata,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
WOOD,Culex,tarsalis,,,http://www.mendeley.com/c/5000605082/g/2058663/meyer-1982-mosquitoes-dipteraculicidae-consumed-by-breeding-anatinae-in-south-central-north-dakota/
BLAN,Tetraopes,tetraophthalmus,,red milkweed beetle,http://www.mendeley.com/c/5001138862/g/2058663/matter-1996-interpatch-movement-of-the-red-milkweed-beetle--tetraopes-tetraophthalmus--individual-responses-to-patch-size-and-isolation/
BLAN,Leptinotarsa,juncta,,horse nettle beetle,http://www.mendeley.com/c/5001149062/g/2058663/wise-michael-j-sacchi-1995-impact-of-two-specialist-insect-herbivores-on-reproduction-of-horse-nettle--solanum-carolinense/
BLAN,Leptinotarsa,decemlineata,,Colorado potato beetle,http://www.mendeley.com/c/5001149062/g/2058663/wise-michael-j-sacchi-1995-impact-of-two-specialist-insect-herbivores-on-reproduction-of-horse-nettle--solanum-carolinense/
