taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
PEAT,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,attwateri,,Peromyscus attwateri,species,target,Wilson&Reeder2005
PEBO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,boylii,,Peromyscus boylii,species,target,Wilson&Reeder2005
PECA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,californicus,,Peromyscus californicus,species,target,Wilson&Reeder2005
PECR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,crinitus,,Peromyscus crinitus,species,target,Wilson&Reeder2005
PEER,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,eremicus,,Peromyscus eremicus,species,target,Wilson&Reeder2005
PEGO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,,Peromyscus gossypinus,species,target,Wilson&Reeder2005
PELE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,leucopus,,Peromyscus leucopus,species,target,Wilson&Reeder2005
PEMA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,,Peromyscus maniculatus,species,target,Wilson&Reeder2005
PEME,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,merriami,,Peromyscus merriami,species,target,Wilson&Reeder2005
PENA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,nasutus,,Peromyscus nasutus,species,target,Wilson&Reeder2005
PEPO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,polionotus,,Peromyscus polionotus,species,target,Wilson&Reeder2005
PESP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,sp.,,Peromyscus sp.,genus,target,Wilson&Reeder2005
PETR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,truei,,Peromyscus truei,species,target,Wilson&Reeder2005
PHIN,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius,,Phenacomys intermedius,species,target,Wilson&Reeder2005
POFL,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Podomys,floridanus,,Podomys floridanus,species,target,Wilson&Reeder2005
RANO,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,,Rattus norvegicus,species,target,Wilson&Reeder2005
