Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,braovi,Brachinus ovipennis,,Bousquet 2012,
D1,brapat,Brachinus patruelis,,Bousquet 2012,
D1,braqua,Brachinus quadripennis,,Bousquet 2012,
D1,brarug,Brachinus rugipennis,,Bousquet 2012,
D1,brarup,Bradycellus rupestris,,Bousquet 2012,
D1,brasem,Bradycellus semipubescens,,Bousquet 2012,
D1,bratan,Bradycellus tantillus,,Bousquet 2012,
D1,braten,Brachinus tenuicollis,,Bousquet 2012,
D1,bratex,Brachinus texanus,,Bousquet 2012,
D1,bravul,Brachinus vulcanoides,,Bousquet 2012,
D1,caladv,Calathus advena,,Bousquet 2012,
D1,calext,Calosoma externum,,Bousquet 2012,
D1,calfri,Calosoma frigidum,,Bousquet 2012,
D1,calgre,Calathus gregarius,,Bousquet 2012,
D1,caling,Calathus ingratus,,Bousquet 2012,
D1,calopa,Calathus opaculus,,Bousquet 2012,
D1,calpun1,Calleida punctata,,Bousquet 2012,
D1,calpur,Calleida purpurea,,Bousquet 2012,
D1,calsay,Calosoma sayi,,Bousquet 2012,
D1,calscr,Calosoma scrutator,,Bousquet 2012,
D1,calsyc,Calosoma sycophanta,,Bousquet 2012,
D1,calvir,Calleida viridipennis,,Bousquet 2012,
D1,calwil2,Calosoma wilcoxi,,Bousquet 2012,
D1,caraur,Carabus auratus auratus,,Bousquet 2012,
D1,carcha,Carabus chamissonis,,Bousquet 2012,
D1,cargor,Carabus goryi,,Bousquet 2012,
D1,cargra,Carabus granulatus granulatus,,Bousquet 2012,
D1,carmae,Carabus maeander maeander,,Bousquet 2012,
D1,carnem,Carabus nemoralis nemoralis,,Bousquet 2012,
D1,carser,Carabus serratus,,Bousquet 2012,
D1,carsyl,Carabus sylvosus,,Bousquet 2012,
D1,carvin,Carabus vinctus,,Bousquet 2012,
D1,chlaes,Chlaenius aestivus,,Bousquet 2012,
D1,chlbre,Chlaenius brevilabris,,Bousquet 2012,
D1,chlcor,Chlaenius cordicollis,,Bousquet 2012,
D1,chlema,Chlaenius emarginatus,,Bousquet 2012,
D1,chlery,Chlaenius erythropus,,Bousquet 2012,
D1,chlimp,Chlaenius impunctifrons,,Bousquet 2012,
D1,chllat,Chlaenius laticollis,,Bousquet 2012,
D1,chllit,Chlaenius lithophilus,,Bousquet 2012,
D1,chlnem,Chlaenius nemoralis,,Bousquet 2012,
D1,chlnig,Chlaenius niger,,Bousquet 2012,
D1,chlpen2,Chlaenius pennsylvanicus pennsylvanicus,,Bousquet 2012,
D1,chlpla,Chlaenius platyderus,,Bousquet 2012,
D1,chlpra,Chlaenius prasinus,,Bousquet 2012,
D1,chlpur2,Chlaenius purpuricollis,,Bousquet 2012,
D1,chlpus,Chlaenius pusillus,,Bousquet 2012,
D1,chlser,Chlaenius sericeus,,Bousquet 2012,
D1,chlsol,Chlaenius solitarius,,Bousquet 2012,
D1,chltom,Chlaenius tomentosus,,Bousquet 2012,
D1,chltri1,Chlaenius tricolor tricolor,,Bousquet 2012,
D1,cicabd,Cicindela abdominalis,,Bousquet 2012,
D1,cicanc,Cicindela ancocisconensis,,Bousquet 2012,
D1,cicduo,Cicindela duodecimguttata,,Bousquet 2012,
D1,cicfor2,Cicindela formosa generosa,,Bousquet 2012,
D1,cichir6,Cicindela hirticollis hirticollis,,Bousquet 2012,
D1,cichir7,Cicindela hirticollis rhodensis,,Bousquet 2012,
D1,ciclim1,Cicindela limbalis,,Bousquet 2012,
D1,ciclon2,Cicindela longilabris longilabris,,Bousquet 2012,
D1,cicmar,Cicindela marginipennis,,Bousquet 2012,TRUE
D1,cicore4,Cicindela oregona oregona,,Bousquet 2012,
D1,cicpat1,Cicindela patruela consentanea,,Bousquet 2012,TRUE
D1,cicpat2,Cicindela patruela patruela,,Bousquet 2012,
D1,cicpun1,Cicindela punctulata punctulata,,Bousquet 2012,
D1,cicpur5,Cicindela purpurea purpurea,,Bousquet 2012,
D1,cicrep1,Cicindela repanda repanda,,Bousquet 2012,
D1,cicruf1,Cicindela rufiventris hentzii,,Bousquet 2012,
D1,cicruf2,Cicindela rufiventris rufiventris,,Bousquet 2012,
D1,cicscu2,Cicindela scutellaris lecontei,,Bousquet 2012,
D1,cicscu4,Cicindela scutellaris rugifrons,,Bousquet 2012,
D1,cicsex,Cicindela sexguttata,,Bousquet 2012,
D1,cicspl,Cicindela splendida,,Bousquet 2012,
D1,cictra6,Cicindela tranquebarica tranquebarica,,Bousquet 2012,
D1,cliacu,Clivina acuducta,,Bousquet 2012,
D1,cliame,Clivina americana,,Bousquet 2012,
D1,clicol,Clivina collaris,,Bousquet 2012,
D1,cliden,Clivina dentipes,,Bousquet 2012,
D1,clifos,Clivina fossor fossor,,Bousquet 2012,
D1,cliimp,Clivina impressefrons,,Bousquet 2012,
D1,clipal,Clivina pallida,,Bousquet 2012,
D1,clipun1,Clivina punctigera,,Bousquet 2012,
D1,clirub,Clivina rubicunda,,Bousquet 2012,
D1,cliruf,Clivina rufa,,Bousquet 2012,
D1,collud,Colliuris ludoviciana,,Bousquet 2011,
D1,colpen,Colliuris pensylvanica,,Bousquet 2012,
D1,copaer,Coptodera aerata,,Bousquet 2012,
D1,cradub,Cratacanthus dubius,,Bousquet 2012,
D1,cyccon2,Cyclotrachelus convivus,,Bousquet 2012,
D1,cycfre,Cyclotrachelus freitagi,,Bousquet 2012,
D1,cycfuc,Cyclotrachelus fucatus,,Bousquet 2012,
D1,cycinc,Cyclotrachelus incisus,,Bousquet 2012,
D1,cycsex,Cyclotrachelus seximpressus,,Bousquet 2012,
D1,cycsig,Cyclotrachelus sigillatus,,Bousquet 2012,
D1,cycsod2,Cyclotrachelus sodalis sodalis,,Bousquet 2012,
D1,cylcur,Cylindera cursitans,,Bousquet 2012,
D1,cyluni,Cylindera unipunctata,,Bousquet 2012,
D1,cymame,Cymindis americana,,Bousquet 2012,
D1,cymbor,Cymindis borealis,,Bousquet 2012,
