"","taxon_id","spp_id","source_id","scientific_name","genus","subgenus","species","subspecies","authority_name","authority_year","itis_number","common_name"
"709","herps","lei_car","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leiocephalus carinatus","Leiocephalus",NA,"carinatus",NA,"Gray",1827,NA,"Northern Curly-tailed Lizard"
"710","herps","lei_sch","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leiocephalus schreibersii","Leiocephalus",NA,"schreibersii",NA,"Gravenhorst",1837,NA,"Red-sided Curly-tailed Lizard"
"711","herps","lei_bel","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leiolepis belliana","Leiolepis",NA,"belliana",NA,"Gray",1827,NA,"Butterfly Lizard"
"712","herps","lep_kem","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lepidochelys kempii","Lepidochelys",NA,"kempii",NA,"Garman",1880,NA,"Kemp's Ridley Sea Turtle"
"713","herps","lep_oli","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lepidochelys olivacea","Lepidochelys",NA,"olivacea",NA,"Eschscholtz",1829,NA,"Olive Ridley Sea Turtle"
"714","herps","lep_lug","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lepidodactylus lugubris","Lepidodactylus",NA,"lugubris",NA,"Dumeril and Bibron",1836,NA,"Mourning Gecko unisexual)"
"715","herps","lep_alb","http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/","Leptodactylus albilabris","Leptodactylus",NA,"albilabris",NA,"Gunther",1859,"White-lipped Frog",NA
"716","herps","lep_fra","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptodactylus fragilis","Leptodactylus",NA,"fragilis",NA,"Brocchi",1877,NA,"Mexican White-lipped Frog"
"717","herps","lep_sep","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptodeira septentrionalis","Leptodeira",NA,"septentrionalis",NA,"Kennicott",1859,NA,"Cat-eyed Snake"
"718","herps","lep_dul","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops dissectus","Leptotyphlops",NA,"dissectus",NA,"Cope",1896,NA,"New Mexico Threadsnake"
"719","herps","lep_dul2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops dulcis","Leptotyphlops",NA,"dulcis",NA,"Baird and Girard",1853,NA,"Texas Threadsnake"
"720","herps","lep_dul3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops dulcis dulcis","Leptotyphlops",NA,"dulcis","dulcis","Baird and Girard",1853,NA,"Plains Threadsnake"
"721","herps","lep_hum","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops dulcis rubellum","Leptotyphlops",NA,"dulcis","rubellum","Garman",1884,NA,"South Texas Threadsnake"
"722","herps","lep_hum2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops humilis","Leptotyphlops",NA,"humilis",NA,"Baird and Girard",1853,NA,"Western Threadsnake"
"723","herps","lep_hum3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops humilis cahuilae","Leptotyphlops",NA,"humilis","cahuilae","Klauber",1931,NA,"Desert Threadsnake"
"724","herps","lep_hum4","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops humilis humilis","Leptotyphlops",NA,"humilis","humilis","Baird and Girard",1853,NA,"Southwestern Threadsnake"
