unaccepted_synonym,accepted_synonym
Akodon orientalis,Akodon orophilus orientalis
Akodon serrensis paranaensis,Akodon paranaensis
Akodon serrensis reigi,Akodon reigi
Akodon serrensis sanctipaulensis,Akodon sanctipaulensis
Hesperomys serrensis,Akodon serrensis
Akodon leucogula,Akodon serrensis leucogula
Hesperomys serrensis serrensis,Akodon serrensis serrensis
Hypsimys siberiae,Akodon siberiae
Akodon varius simulator,Akodon simulator
Akodon varius glaucinus,Akodon simulator glaucinus
Akodon tartareus,Akodon simulator tartareus
Akodon boliviensis spegazzinii,Akodon spegazzinii
Akodon boliviensis alterus,Akodon spegazzinii alterus
Akodon boliviensis tucumanensis,Akodon spegazzinii tucumanensis
Akodon boliviensis subfuscus,Akodon subfuscus
Akodon arequipae,Akodon subfuscus arequipae
Akodon varius sylvanus,Akodon sylvanus
Akodon pervalens,Akodon sylvanus pervalens
Akodon varius toba,Akodon toba
Akodon orophilus torques,Akodon torques
Boselaphus ambiguus,Alcelaphus buselaphus ambiguus
Bubalis cokei,Alcelaphus buselaphus cokii
Bubalis deckeni,Alcelaphus buselaphus deckeni
Bubalis tora digglei,Alcelaphus buselaphus digglei
Bubalis lelwel insignis,Alcelaphus buselaphus insignis
Bubalis major invadens,Alcelaphus buselaphus invadens
Alcelaphus buselaphus lelwel x cokii,Alcelaphus buselaphus jacksoni
Bubalis lelwel jacksoni,Alcelaphus buselaphus jacksoni
Bubalis lelwel keniae,Alcelaphus buselaphus keniae
Bubalis cokei kongoni,Alcelaphus buselaphus kongoni
Acronotus lelwel,Alcelaphus buselaphus lelwel
Alcelaphus luzarchei,Alcelaphus buselaphus luzarchei
Bubalis major,Alcelaphus buselaphus major
Bubalis major major,Alcelaphus buselaphus major major
Bubalis major matschiei,Alcelaphus buselaphus matschiei
Bubalis lelwel modestus,Alcelaphus buselaphus modestus
Bubalis cokei nakurae,Alcelaphus buselaphus nakurae
Alcelaphus buselaphus lelwel x tora,Alcelaphus buselaphus neumanni
Bubalis neumanni,Alcelaphus buselaphus neumanni
Bubalis lelwel niediecki,Alcelaphus buselaphus niediecki
Alcelaphus buselaphus lelwel x swainei,Alcelaphus buselaphus noacki
Bubalis noacki,Alcelaphus buselaphus noacki
Bubalis oscari,Alcelaphus buselaphus oscari
Boselaphus probubalis,Alcelaphus buselaphus probubalis
Bubalis tora rahatensis,Alcelaphus buselaphus rahatensis
Bubalis cokei ritchiei,Alcelaphus buselaphus ritchiei
Bubalis lelwel roosevelti,Alcelaphus buselaphus roosevelti
Bubalis cokei rothschildi,Alcelaphus buselaphus rothschildi
Bubalis cokei sabakiensis,Alcelaphus buselaphus sabakiensis
Boselaphus saldensis,Alcelaphus buselaphus saldensis
Bubalis cokei schillingsi,Alcelaphus buselaphus schillingsi
Bubalis cokei schulzi,Alcelaphus buselaphus schulzi
Bubalis tora swaynei,Alcelaphus buselaphus swaynei
Bubalis cokii tanae,Alcelaphus buselaphus tanae
Alcelaphus tora,Alcelaphus buselaphus tora
Alcelaphus buselaphus tchadensis,Alcelaphus buselaphus tschadensis
Alcelaphus bubalis var. tunisianus,Alcelaphus buselaphus tunisianus
Bubalis cokii wembaerensis,Alcelaphus buselaphus wembaerensis
Alcelaphus buselaphus caama,Alcelaphus caama
Alcelaphus buselaphus caama caama,Alcelaphus caama caama
Alcelaphus buselaphus evalensis,Alcelaphus caama evalensis
Alcelaphus buselaphus selbornei,Alcelaphus caama selbornei
Alcelaphus buselaphus senegalensis,Alcelaphus caama senegalensis
Sigmoceros lichtensteinii,Alcelaphus lichtensteinii
Alcelaphus buselaphus lichtensteinii,Alcelaphus lichtensteinii
Sigmoceros bangae,Alcelaphus lichtensteinii bangae
Bubalis lichtensteini basengae,Alcelaphus lichtensteinii basengae
Sigmoceros basengae,Alcelaphus lichtensteinii basengae.
Sigmoceros dieseneri,Alcelaphus lichtensteinii dieseneri
Sigmoceros frommi,Alcelaphus lichtensteinii frommi
Sigmoceros gendagendae,Alcelaphus lichtensteinii gendagendae
Sigmoceros godonga,Alcelaphus lichtensteinii godonga
Sigmoceros gudowiusi,Alcelaphus lichtensteinii godowiusi
Bubalis lichtensteini gombensis,Alcelaphus lichtensteinii gombensis
Sigmoceros gorongozae,Alcelaphus lichtensteinii gorongozae
Sigmoceros grotei,Alcelaphus lichtensteinii grotei
Sigmoceros hennigi,Alcelaphus lichtensteinii hennigi
Sigmoceros inkulanondo,Alcelaphus lichtensteinii inkulanondo
Gazella janenschi,Alcelaphus lichtensteinii janenschi
Sigmoceros kangosa,Alcelaphus lichtensteinii kangosa
Sigmoceros konzi,Alcelaphus lichtensteinii konzi
Sigmoceros lacrymalis,Alcelaphus lichtensteinii lacrymalis
Sigmoceros lademanni,Alcelaphus lichtensteinii lademanni
Bubalis leucoprymnus,Alcelaphus lichtensteinii leucoprymnus
Sigmoceros leupolti,Alcelaphus lichtensteinii leupolti
Sigmoceros lichtensteinii lichtensteinii,Alcelaphus lichtensteinii lichtensteinii
Sigmoceros lindicus,Alcelaphus lichtensteinii lindicus
Sigmoceros munzneri,Alcelaphus lichtensteinii munzneri
Sigmoceros niediecki,Alcelaphus lichtensteinii niediecki
Sigmoceros petersi,Alcelaphus lichtensteinii petersi
Sigmoceros prittwitzi,Alcelaphus lichtensteinii prittwitzi
Sigmoceros rendalli,Alcelaphus lichtensteinii rendalli
Sigmoceros rowumae,Alcelaphus lichtensteinii rowumae
Bubalis lichtensteini rukwai,Alcelaphus lichtensteinii rukwai
Sigmoceros saadanicus,Alcelaphus lichtensteinii saadanicus
Sigmoceros schmitti,Alcelaphus lichtensteinii schmitti
Sigmoceros schusteri,Alcelaphus lichtensteinii schusteri
Sigmoceros senganus,Alcelaphus lichtensteinii senganus
Bubalis lichtensteini shirensis,Alcelaphus lichtensteinii shirensis
Sigmoceros stierlingi,Alcelaphus lichtensteinii stierlingi
Sigmoceros tendagurucus,Alcelaphus lichtensteinii tendagurucus
Bubalis lichtensteini ufipae,Alcelaphus lichtensteinii ufipae
Bubalis lichtensteini ugalae,Alcelaphus lichtensteinii ugalae
Sigmoceros ulangae,Alcelaphus lichtensteinii ulangae
Sigmoceros ungonicus,Alcelaphus lichtensteinii ungonicus
Sigmoceros ungoniensis,Alcelaphus lichtensteinii ungoniensis
Sigmoceros uwendensis,Alcelaphus lichtensteinii uwendensis
Sigmoceros wiesei,Alcelaphus lichtensteinii wiesei
Sigmoceros wintgensis,Alcelaphus lichtensteinii wintgensis
Cervus alces,Alces alces
Alces antiquorum,Alces alces alces
Alces jubata,Alces alces alces
Cervus americanus,Alces alces americanus
Paralces americanus,Alces alces americanus
Alces machlis angusticephalus,Alces alces angusticephalus
Alces bedfordiae,Alces alces bedfordiae
Alces cameloides,Alces alces cameloides
Alces columbae,Alces alces columbae
Alces gigas,Alces alces gigas
Paralces gigas,Alces alces gigas
Alces machlis,Alces alces machlis
Alces machlis meridionalis,Alces alces meridionalis
Alces pfizenmayeri,Alces alces pfizenmayeri
Alces machlis tymensis,Alces alces tymensis
Alces machlis uralensis,Alces alces uralensis
Alces machlis yakutskensis,Alces alces yakutskensis
Orientallactaga balikunica,Allactaga balikunica
Orientallactaga bullata,Allactaga bullata
Allactaga balikunica nataliae,Allactaga bullata nataliae
Dipus elater,Allactaga elater
Alactaga aralychensis,Allactaga elater aralychensis
Allactaga bactriana,Allactaga elater bactriana
