taxon_id, spp_id, source_id, scientific_name, common_name, order_name, family_name
bird,siltea1,ebird,Anas versicolor,Silver Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,puntea1,ebird,Anas puna,Puna Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,hottea1,ebird,Anas hottentota,Hottentot Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gargan,ebird,Anas querquedula,Garganey,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,baitea,ebird,Anas formosa,Baikal Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gnwtea,ebird,Anas crecca,Green-winged Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,spetea3,ebird,Anas andium,Andean Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,yebtea1,ebird,Anas flavirostris,Yellow-billed Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,captea1,ebird,Anas capensis,Cape Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bertea1,ebird,Anas bernieri,Bernier's Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,suntea1,ebird,Anas gibberifrons,Sunda Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,andtea1,ebird,Anas albogularis,Andaman Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gretea1,ebird,Anas gracilis,Gray Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,chetea1,ebird,Anas castanea,Chestnut Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,auitea1,ebird,Anas aucklandica,Auckland Islands Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,caitea1,ebird,Anas nesiotis,Campbell Islands Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,brotea1,ebird,Anas chlorotis,Brown Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,pieduc1,ebird,Malacorhynchus membranaceus,Pink-eared Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,martea1,ebird,Marmaronetta angustirostris,Marbled Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,pihduc1,ebird,Rhodonessa caryophyllacea,Pink-headed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,recpoc,ebird,Netta rufina,Red-crested Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,soupoc1,ebird,Netta erythrophthalma,Southern Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,robpoc1,ebird,Netta peposaca,Rosy-billed Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,canvas,ebird,Aythya valisineria,Canvasback,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,redhea,ebird,Aythya americana,Redhead,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,compoc,ebird,Aythya ferina,Common Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rinduc,ebird,Aythya collaris,Ring-necked Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ferduc,ebird,Aythya nyroca,Ferruginous Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,madpoc1,ebird,Aythya innotata,Madagascar Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,baepoc1,ebird,Aythya baeri,Baer's Pochard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,wheduc1,ebird,Aythya australis,White-eyed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,tufduc,ebird,Aythya fuligula,Tufted Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,nezsca1,ebird,Aythya novaeseelandiae,New Zealand Scaup,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gresca,ebird,Aythya marila,Greater Scaup,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,lessca,ebird,Aythya affinis,Lesser Scaup,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,steeid,ebird,Polysticta stelleri,Steller's Eider,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,speeid,ebird,Somateria fischeri,Spectacled Eider,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,kineid,ebird,Somateria spectabilis,King Eider,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,comeid,ebird,Somateria mollissima,Common Eider,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,harduc,ebird,Histrionicus histrionicus,Harlequin Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,labduc,ebird,Camptorhynchus labradorius,Labrador Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,sursco,ebird,Melanitta perspicillata,Surf Scoter,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whwsco,ebird,Melanitta fusca,White-winged Scoter,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blksco1,ebird,Melanitta nigra,Common Scoter,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blksco2,ebird,Melanitta americana,Black Scoter,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,lotduc,ebird,Clangula hyemalis,Long-tailed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,buffle,ebird,Bucephala albeola,Bufflehead,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,comgol,ebird,Bucephala clangula,Common Goldeneye,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bargol,ebird,Bucephala islandica,Barrow's Goldeneye,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,smew,ebird,Mergellus albellus,Smew,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,hoomer,ebird,Lophodytes cucullatus,Hooded Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,auimer1,ebird,Mergus australis,Auckland Islands Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,commer,ebird,Mergus merganser,Common Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bramer1,ebird,Mergus octosetaceus,Brazilian Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rebmer,ebird,Mergus serrator,Red-breasted Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,scsmer1,ebird,Mergus squamatus,Scaly-sided Merganser,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blhduc1,ebird,Heteronetta atricapilla,Black-headed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,masduc,ebird,Nomonyx dominicus,Masked Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rudduc,ebird,Oxyura jamaicensis,Ruddy Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whhduc1,ebird,Oxyura leucocephala,White-headed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,macduc1,ebird,Oxyura maccoa,Maccoa Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,lakduc1,ebird,Oxyura vittata,Lake Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blbduc1,ebird,Oxyura australis,Blue-billed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,musduc1,ebird,Biziura lobata,Musk Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ausbrt1,ebird,Alectura lathami,Australian Brush-Turkey,Galliformes,Megapodiidae (Megapodes)
bird,watbrt1,ebird,Aepypodius arfakianus,Wattled Brush-Turkey,Galliformes,Megapodiidae (Megapodes)
bird,brubrt1,ebird,Aepypodius bruijnii,Bruijn's Brush-Turkey,Galliformes,Megapodiidae (Megapodes)
