genus,sp,subsp,common name,common name,state,status,notes
Ictalurus,pricei,,Yaqui,Catfish,Arizona,Threatened,
Gila,elegans,,bonytail,Chub,Arizona,Endangered,entire
Gila,intermedia,,Gila,Chub,Arizona,Endangered,
Gila,cypha,,humpback,Chub,Arizona,Endangered,entire
Gila,ditaenia,,Sonora,Chub,Arizona,Threatened,
Gila,seminuda,,Virgin River,Chub,Arizona,Endangered,
Gila,purpurea,,Yaqui,Chub,Arizona,Endangered,
Gymnogyps,californianus,,California,Condor,Arizona,Endangered,Entire except where listed as an experimental population below
Numenius,borealis,,Eskimo,Curlew,Arizona,Endangered,
Falco,femoralis,septentrionalis,northern aplomado,falcon,Arizona,Endangered,Entire except where listed as an experimental population
Mustela,nigripes,,black-footed,Ferret,Arizona,Endangered,entire population except where EXPN
Empidonax,traillii,extimus,southwestern willow,Flycatcher,Arizona,Endangered,
Rana,chiricahuensis,,Chiricahua leopard,Frog,Arizona,Threatened,
onca,,,Panthera,Jaguar,Arizona,Endangered,
Herpailurus,yagouaroundi,tolteca,Sinaloan,Jaguarundi,Arizona,Endangered,
