genus,sp,subsp,common name,common name,state,status,notes
Dicerandra,christmanii,,Garrett's,Mint,Florida,Endangered,
Dicerandra,immaculata,,Lakela's,Mint,Florida,Endangered,
Dicerandra,cornutissima,,longspurred,Mint,Florida,Endangered,
Dicerandra,frutescens,,scrub,Mint,Florida,Endangered,
Warea,carteri,,Carter's,Mustard,Florida,Endangered,
Deeringothamnus,pulchellus,,beautiful,Pawpaw,Florida,Endangered,
Asimina, tetramera,,four-petal,Pawpaw,Florida,Endangered,
Deeringothamnus,rugelii,,Rugel's,Pawpaw,Florida,Endangered,
fragrans,,,Clitoria,Pigeon wings,Florida,Threatened,
Spigelia,gentianoides,,gentian,Pinkroot,Florida,Endangered,
Prunus,geniculata,,scrub,Plum,Florida,Endangered,
Polygala,lewtonii,,Lewton's,Polygala,Florida,Endangered,
Polygala,smallii,,tiny,Polygala,Florida,Endangered,
melissifolia,,,Lindera,Pondberry,Florida,Endangered,
Cereus,eriophorus,var. fragrans,fragrant,Prickly-apple,Florida,Endangered,
Rhododendron,chapmanii,,Chapman,Rhododendron,Florida,Endangered,
Conradina,glabra,,Apalachicola,Rosemary,Florida,Endangered,
Conradina,etonia,,Etonia,Rosemary,Florida,Endangered,
Conradina,brevifolia,,short-leaved,Rosemary,Florida,Endangered,
myriophylla,,,Polygonella,Sandlace,Florida,Endangered,
Halophila,johnsonii,,Johnson's,Seagrass,Florida,Threatened,
Scutellaria,floridana,,Florida,Skullcap,Florida,Threatened,
cuneifolium,,,Eryngium,Snakeroot,Florida,Endangered,
Chamaesyce,deltoidea,ssp. deltoidea,deltoid,Spurge,Florida,Endangered,
Chamaesyce,garberi,,Garber's,Spurge,Florida,Threatened,
Euphorbia, telephioides,,telephus,Spurge,Florida,Threatened,
Torreya,taxifolia,,Florida,Torreya,Florida,Endangered,
Warea,amplexifolia,,wide-leaf,Warea,Florida,Endangered,
Justicia,cooleyi,,Cooley's,Water-willow,Florida,Endangered,
Paronychia,chartacea,,papery,Whitlow-wort,Florida,Threatened,
basiramia,,,Polygonella,Wireweed,Florida,Endangered,
Ziziphus,celata,,Florida,Ziziphus,Florida,Endangered,
Canis,lupus,,gray,Wolf,Georgia,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Epioblasma,othcaloogensis,,southern,Acornshell,Georgia,Endangered,
Elliptoideus,sloatianus,,purple,Bankclimber,Georgia,Threatened,
Myotis,grisescens,,gray,Bat,Georgia,Endangered,
Myotis,sodalis,,Indiana,Bat,Georgia,Endangered,
Nicrophorus,americanus,,American burying,Beetle,Georgia,Endangered,
Erimonax,monachus,,spotfin Entire,Chub,Georgia,Threatened,
Pleurobema,perovatum,,ovate,Clubshell,Georgia,Endangered,
Pleurobema,decisum,,southern,Clubshell,Georgia,Endangered,
Epioblasma,metastriata,,upland,Combshell,Georgia,Endangered,
Numenius,borealis,,Eskimo,Curlew,Georgia,Endangered,
Percina,antesella,,amber,Darter,Georgia,Endangered,
Etheostoma,scotti,,Cherokee,Darter,Georgia,Threatened,
Etheostoma,etowahae,,Etowah,Darter,Georgia,Endangered,
Percina,aurolineata,,goldline,Darter,Georgia,Threatened,
Percina,tanasi,,snail,Darter,Georgia,Threatened,
Ptychobranchus,greenii,,triangular,Kidneyshell,Georgia,Endangered,
Lioplax,cyclostomaformis,, cylindrical,Lioplax,Georgia,Endangered,
Percina,jenkinsi,,Conasauga,Logperch,Georgia,Endangered,
Trichechus,manatus,,West Indian,Manatee,Georgia,Endangered,
Medionidus,acutissimus,,Alabama,Moccasinshell,Georgia,Threatened,
Medionidus,parvulus,,Coosa,Moccasinshell,Georgia,Endangered,
Medionidus,penicillatus,,Gulf,Moccasinshell,Georgia,Endangered,
Medionidus,simpsonianus,,Ochlockonee,Moccasinshell,Georgia,Endangered,
Epioblasma,capsaeformis,,oyster,Mussel,Georgia,Endangered,Entire Range Except where listed as Experimental Populations 
Puma,concolor,coryi,Florida,Panther,Georgia,Endangered,
Pleurobema,hanleyianum,,Georgia,Pigtoe,Georgia,Endangered,
Pleurobema,pyriforme,,oval,Pigtoe,Georgia,Endangered,
Pleurobema,georgianum,,southern,Pigtoe,Georgia,Endangered,
Charadrius,melodus,,piping,Plover,Georgia,Threatened,except Great Lakes watershed
Lampsilis,altilis,,finelined,Pocketbook,Georgia,Threatened,
Lampsilis,subangulata,,shinyrayed,Pocketbook,Georgia,Endangered,
Athearnia,anthonyi,,Anthony's,Riversnail,Georgia,Endangered,Entire Range Except where listed as Experimental Populations
Leptoxis,foremani,,interrupted,Rocksnail,Georgia,Endangered,
Ambystoma,cingulatum,,frosted flatwoods,Salamander,Georgia,Threatened,
Ambystoma,bishopi,,Reticulated flatwoods,salamander,Georgia,Endangered,
Chelonia,mydas,,green,Sea turtle,Georgia,Threatened,except where endangered
Eretmochelys,imbricata,,hawksbill,Sea turtle,Georgia,Endangered,
Lepidochelys,kempii,,Kemp's ridley,Sea turtle,Georgia,Endangered,
Dermochelys,coriacea,,leatherback,Sea turtle,Georgia,Endangered,
Caretta,caretta,,loggerhead,Sea turtle,Georgia,Threatened,
Cyprinella,caerulea,,blue,Shiner,Georgia,Threatened,
Drymarchon,corais,couperi,eastern indigo,Snake,Georgia,Threatened,
Elliptio,spinosa,,Altamaha,Spinymussel,Georgia,Endangered,
Mycteria,americana,,wood,Stork,Georgia,Endangered,AL FL GA SC
Acipenser,oxyrinchus,desotoi,gulf,Sturgeon,Georgia,Threatened,
Acipenser,brevirostrum,,shortnose,Sturgeon,Georgia,Endangered,
Amblema,neislerii,,fat,Three-ridge,Georgia,Endangered,
Gopherus,polyphemus,,gopher,Tortoise,Georgia,Threatened,W of of Mobile/Tombigbee Rs.
Vermivora,bachmanii,,Bachman's,Warbler,Georgia,Endangered,
Balaenoptera,physalus,,finback,Whale,Georgia,Endangered,
Megaptera,novaeangliae,,humpback,Whale,Georgia,Endangered,
Eubalaena,glacialis,,North Atlantic Right,Whale,Georgia,Endangered,
Campephilus,principalis,,ivory-billed entire,Woodpecker,Georgia,Endangered,
Picoides,borealis,,red-cockaded,Woodpecker,Georgia,Endangered,
Amphianthus,pusillus,,little,Amphianthus,Georgia,Threatened,
Marshallia,mohrii,,Mohr's Barbara,Button,Georgia,Threatened,
Silene,polypetala,,fringed,Campion,Georgia,Endangered,
Schwalbea,americana,,American,Chaffseed,Georgia,Endangered,
Echinacea,laevigata,,smooth,Coneflower,Georgia,Endangered,
Oxypolis,canbyi,,Canby's,Dropwort,Georgia,Endangered,
Xyris,tennesseensis,,Tennessee yellow-eyed,Grass,Georgia,Endangered,
nodosum,,,Ptilimnium,Harperella,Georgia,Endangered,
Helonias,bullata,,swamp,Pink,Georgia,Threatened,
Sarracenia,oreophila,,green,Pitcher-plant,Georgia,Endangered,
Isotria,medeoloides,,small whorled,Pogonia,Georgia,Threatened,
melissifolia,,,Lindera,Pondberry,Georgia,Endangered,
Isoetes,melanospora,,black spored,Quillwort,Georgia,Endangered,
Isoetes,tegetiformans,,mat-forming,Quillwort,Georgia,Endangered,
Baptisia,arachnifera,,hairy,Rattleweed,Georgia,Endangered,
Scutellaria,montana,,large-flowered,Skullcap,Georgia,Threatened,
Spiraea,virginiana,,Virginia,Spiraea,Georgia,Threatened,
Rhus,michauxii,,Michaux's,Sumac,Georgia,Endangered,
Torreya,taxifolia,,Florida,Torreya,Georgia,Endangered,
Trillium,persistens,,persistent,Trillium,Georgia,Endangered,
Trillium,reliquum,,relict,Trillium,Georgia,Endangered,
Sagittaria,secundifolia,,Kral's,Water-plantain,Georgia,Threatened,
Loxops, caeruleirostris,, ,Akekee,Hawaii,Endangered,
 Loxops, coccineus, coccineus, Hawaii honeycreeper,Akepa,Hawaii,Endangered,
Loxops, coccineus, ochraceus, Maui honeycreeper,kepa,Hawaii,Endangered,
Hemignathus, procerus,, Kauai honeycreeper,Akialoa,Hawaii,Endangered,
Hemignathus, munroi,,honeycreeper,Akiapola`au ,Hawaii,Endangered,
Oreomystis, bairdi,, ,Akikiki,Hawaii,Endangered,
Phoebastria, albatrus,, short-tailed ,lbatross,Hawaii,Endangered,
Spelaeorchestia, koloana,, Kauai cave ,Amphipod,Hawaii,Endangered,
Lasiurus, cinereus, semotus, Hawaiian hoary ,Bat,Hawaii,Endangered,
Fulica, americana, alai, Hawaiian ,Coot,Hawaii,Endangered,
Oreomystis, mana,, Hawaii ,Creeper,Hawaii,Endangered,
Paroreomyza, flammea,, Molokai ,Creeper,Hawaii,Endangered,
Paroreomyza, maculata,, Oahu ,Creeper,Hawaii,Endangered,
Corvus, hawaiiensis,, Hawaiian,Crow,Hawaii,Endangered,
Megalagrion, nesiotes,, flying earwig Hawaiian ,Damselfly,Hawaii,Endangered,
Megalagrion, pacificum,, Pacific Hawaiian ,Damselfly,Hawaii,Endangered,
Anas, wyvilliana,, Hawaiian ,Duck,Hawaii,Endangered,
Anas, laysanensis,, Laysan ,Duck,Hawaii,Endangered,
Chasiempis, sandwichensis, ibidis, Oahu ,Elepaio,Hawaii,Endangered,
 Telespyza, cantans,, Laysan honeycreeper,Finch,Hawaii,Endangered,
honeycreeper, Telespyza, ultima, Nihoa ,Finch,Hawaii,Endangered,
Drosophila, sharpi,, Hawaiian picture-wing ,Fly,Hawaii,Endangered,
Branta ,sandvicensis,, Hawaiian ,Goose,Hawaii,Endangered,
Buteo, solitarius,, Hawaiian,Hawk,Hawaii,Endangered,
Palmeria, dolei,, crested ,Honeycreeper,Hawaii,Endangered,
Acrocephalus, familiaris, kingi, Nihoa ,Millerbird,Hawaii,Endangered,
Gallinula, chloropus, sandvicensis, Hawaiian common ,Moorhen,Hawaii,Endangered,
Manduca, blackburni,, Blackburn's sphinx ,Moth,Hawaii,Endangered,
Hemignathus, lucidus,,honeycreeper,Nukupu`u ,Hawaii,Endangered,
 Moho, braccatus,, Kauai honeyeater,`O`o,Hawaii,Endangered,
 Psittirostra, psittacea,,honeycreeper,`O`u ,Hawaii,Endangered,
 Loxioides, bailleui,,honeycreeper,Palila ,Hawaii,Endangered,
 Pseudonestor, xanthophrys,, Maui honeycreeper,Parrotbill,Hawaii,Endangered,
Pterodroma, phaeopygia, sandwichensis, Hawaiian dark-rumped ,Petrel,Hawaii,Endangered,
Drosophila, aglaia,,Pomace fly,,Hawaii,Endangered,
Drosophila, differens,,Pomace fly,,Hawaii,Endangered,
Drosophila, hemipeza,,Pomace fly,,Hawaii,Endangered,
Drosophila, heteroneura,,Pomace fly,,Hawaii,Endangered,
Drosophila, montgomeryi,,Pomace fly,,Hawaii,Endangered,
Drosophila, mulli,,Pomace fly,,Hawaii,Threatened,
Drosophila, musaphila,,Pomace fly,,Hawaii,Endangered,
Drosophila, neoclavisetae,,Pomace fly,,Hawaii,Endangered,
Drosophila, obatai,,Pomace fly,,Hawaii,Endangered,
Drosophila, ochrobasis,,Pomace fly,,Hawaii,Endangered,
Drosophila, substenoptera,,Pomace fly,,Hawaii,Endangered,
Drosophila, tarphytrichia,,Pomace fly,,Hawaii,Endangered,
Melamprosops ,phaeosoma,,honeycreeper,Po`ouli ,Hawaii,Endangered,
Monachus, schauinslandi,, Hawaiian monk ,Seal,Hawaii,Endangered,
Chelonia, mydas,, green,Sea turtle,Hawaii,Threatened,except where endangered 
Eretmochelys, imbricata,, hawksbill ,Sea turtle,Hawaii,Endangered,
Dermochelys, coriacea,, leatherback ,Sea turtle,Hawaii,Endangered,
Caretta, caretta,, loggerhead ,Sea turtle,Hawaii,Threatened,
Puffinus, auricularis, newelli, Newell's,Shearwater,Hawaii,Threatened,
Erinna, newcombi,, Newcomb's ,Snail,Hawaii,Threatened,
Achatinella spp.,,, Oahu tree ,Snails,Hawaii,Endangered,
Adelocosa, anops,, Kauai cave wolf,Spider,Hawaii,Endangered,
Himantopus, mexicanus, knudseni, Hawaiian ,Stilt,Hawaii,Endangered,
Myadestes, myadestinus,, large Kauai,Thrush,Hawaii,Endangered,
Myadestes, lanaiensis, rutha, Molokai ,Thrush,Hawaii,Endangered,
Myadestes, palmeri,, small Kauai ,Thrush,Hawaii,Endangered,
Megaptera, novaeangliae,, humpback ,Whale,Hawaii,Endangered,
Zanthoxylum, dipetalum ,var. tomentosum,A`e,,Hawaii,Endangered,
Zanthoxylum, hawaiiense,,A`e,,Hawaii,Endangered,
Argyroxiphium, sandwicense, ssp. macrocephalum,`Ahinahina ,,Hawaii,Threatened,
Argyroxiphium, sandwicense ,ssp. sandwicense,`Ahinahina ,,Hawaii,Endangered,
Solanum, sandwicense,,popolo ,`Aiakeakua,Hawaii,Endangered,
Nothocestrum, breviflorum,,`Aiea,,Hawaii,Endangered,
Nothocestrum, peltatum,,`Aiea,,Hawaii,Endangered,
Chamaesyce, celastroides, var. kaenana,`Akoko,,Hawaii,Endangered,
Chamaesyce, deppeana,,`Akoko,,Hawaii,Endangered,
Chamaesyce, eleanoriae,,`Akoko,,Hawaii,Endangered,
Chamaesyce, herbstii,,`Akoko,,Hawaii,Endangered,
Chamaesyce, kuwaleana,,`Akoko,,Hawaii,Endangered,
Chamaesyce, remyi, var. kauaiensis,`Akoko,,Hawaii,Endangered,
Chamaesyce, remyi, var. remyi,`Akoko,,Hawaii,Endangered,
Chamaesyce, rockii,,`Akoko,,Hawaii,Endangered,
Euphorbia, haeleeleana,,`Akoko,,Hawaii,Endangered,
Chamaesyce, skottsbergii, var. kalaeloana, Ewa Plains ,`Akoko,Hawaii,Endangered,
Melicope, adscendens,,Alani,,Hawaii,Endangered,
Melicope, balloui,,Alani,,Hawaii,Endangered,
Melicope, degeneri,,Alani,,Hawaii,Endangered,
Melicope, haupuensis,,Alani,,Hawaii,Endangered,
Melicope, knudsenii,,Alani,,Hawaii,Endangered,
Melicope, lydgatei,,Alani,,Hawaii,Endangered,
Melicope, mucronulata,,Alani,,Hawaii,Endangered,
Melicope, munroi,,Alani,,Hawaii,Endangered,
Melicope, ovalis,,Alani,,Hawaii,Endangered,
Melicope, pallida,,Alani,,Hawaii,Endangered,
Melicope, paniculata,,Alani,,Hawaii,Endangered,
Melicope, puberula,,Alani,,Hawaii,Endangered,
Melicope, quadrangularis,,Alani,,Hawaii,Endangered,
Melicope, reflexa,,Alani,,Hawaii,Endangered,
Melicope, saint-johnii,,Alani,,Hawaii,Endangered,
Melicope, zahlbruckneri,,Alani,,Hawaii,Endangered,
Lepidium, arbuscula,,`Anaunau,,Hawaii,Endangered,
Sicyos, alba,,`Anunu,,Hawaii,Endangered,
Dryopteris, crinalis, var. podosorus, Palapalai ,aumakua,Hawaii,Endangered,
Isodendrion, hosakae,,Aupaka,,Hawaii,Endangered,
Isodendrion, laurifolium,,Aupaka,,Hawaii,Endangered,
Isodendrion, longifolium,,Aupaka,,Hawaii,Threatened,
Canavalia, molokaiensis,,`Awikiwiki,,Hawaii,Endangered,
Canavalia, napaliensis,,`Awikiwiki,,Hawaii,Endangered,
Centaurium, sebaeoides,,Awiwi,,Hawaii,Endangered,
Hedyotis, cookiana,,Awiwi,,Hawaii,Endangered,
Poa, sandvicensis,, Hawaiian ,Bluegrass,Hawaii,Endangered,
Poa, mannii,, Mann's ,Bluegrass,Hawaii,Endangered,
Achyranthes, splendens, var. rotundata, round-leaved ,Chaff-flower,Hawaii,Endangered,
Diellia, erecta,, asplenium-leaved ,Diellia,Hawaii,Endangered,
Adenophorus, periens,, pendant kihi ,Fern,Hawaii,Endangered,
Gardenia, brighamii,,Hawaiian ,Gardenia,Hawaii,Endangered,
Geranium, arboreum,, Hawaiian red-flowered ,Geranium,Hawaii,Endangered,
Cyanea, acuminata,,Haha,,Hawaii,Endangered,
Cyanea, asarifolia,,Haha,,Hawaii,Endangered,
Cyanea, copelandii ssp. copelandii,,Haha,,Hawaii,Endangered,
Cyanea, copelandii ssp. haleakalaensis,,Haha,,Hawaii,Endangered,
Cyanea, dolichopoda,,Haha,,Hawaii,Endangered,
Cyanea, dunbarii,,Haha,,Hawaii,Endangered,
Cyanea, eleeleensis,,Haha,,Hawaii,Endangered,
Cyanea, glabra,,Haha,,Hawaii,Endangered,
Cyanea, grimesiana ssp. grimesiana,,Haha,,Hawaii,Endangered,
Cyanea ,grimesiana ssp. obatae,,Haha,,Hawaii,Endangered,
Cyanea ,hamatiflora ssp. carlsonii,,Haha,,Hawaii,Endangered,
Cyanea ,hamatiflora ssp. hamatiflora,,Haha,,Hawaii,Endangered,
Cyanea ,humboldtiana,,Haha,,Hawaii,Endangered,
Cyanea ,kolekoleensis,,Haha,,Hawaii,Endangered,
Cyanea ,koolauensis,,Haha,,Hawaii,Endangered,
Cyanea ,kuhihewa,,Haha,,Hawaii,Endangered,
Cyanea ,lobata,,Haha,,Hawaii,Endangered,
Cyanea ,longiflora,,Haha,,Hawaii,Endangered,
Cyanea, macrostegia ssp. gibsonii,,Haha,,Hawaii,Endangered,
Cyanea, mannii,,Haha,,Hawaii,Endangered,
Cyanea, mceldowneyi,,Haha,,Hawaii,Endangered,
Cyanea, pinnatifida,,Haha,,Hawaii,Endangered,
Cyanea, platyphylla,,Haha,,Hawaii,Endangered,
Cyanea, procera,,Haha,,Hawaii,Endangered,
Cyanea, recta,,Haha,,Hawaii,Threatened,
Cyanea, remyi,,Haha,,Hawaii,Endangered,
Cyanea, shipmanii,,Haha,,Hawaii,Endangered,
Cyanea, stictophylla,,Haha,,Hawaii,Endangered,
Cyanea, st.-johnii,,Haha,,Hawaii,Endangered,
Cyanea, superba,,Haha,,Hawaii,Endangered,
Cyanea, truncata,,Haha,,Hawaii,Endangered,
Cyanea, undulata,,Haha ,,Hawaii,Endangered,
Cyrtandra ,paliku,,Haiwale ,,Hawaii,Endangered,
Cyrtandra, crenata,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, dentata,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, giffardii,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra ,limahuliensis,,Ha`iwale ,,Hawaii,Threatened,
Cyrtandra, munroi,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, oenobarba,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, polyantha,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, subumbellata,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, tintinnabula,,Ha`iwale ,,Hawaii,Endangered,
Cyrtandra, viridiflora,,Ha`iwale ,,Hawaii,Endangered,
Pleomele, hawaiiensis,,Hala pepe,,Hawaii,Endangered,
Hibiscadelphus, giffardianus,,Hau kuahiwi,,Hawaii,Endangered,
Hibiscadelphus ,hualalaiensis,,Hau kuahiwi,,Hawaii,Endangered,
Hibiscadelphus ,woodii,,Hau kuahiwi,,Hawaii,Endangered,
Exocarpos, luteolus,,Heau,,Hawaii,Endangered,
Hedyotis, st.-johnii,, Na Pali beach ,Hedyotis,Hawaii,Endangered,
Hibiscus, clayi,, Clay's ,Hibiscus,Hawaii,Endangered,
Pittosporum, napaliense,,Ho`awa ,,Hawaii,Endangered,
Ochrosia, kilaueaensis,,Holei ,,Hawaii,Endangered,
Haplostachys, haplostachya,,Honohono ,,Hawaii,Endangered,
Marsilea, villosa,,Ihi`ihi ,,Hawaii,Endangered,
Wilkesia, hobdyi,, dwarf ,Iliau,Hawaii,Endangered,
Ischaemum, byrone,, Hilo ,Ischaemum,Hawaii,Endangered,
Labordia, cyrtandrae,,Kamakahala ,,Hawaii,Endangered,
Labordia, helleri,,Kamakahala ,,Hawaii,Endangered,
Labordia, lydgatei,,Kamakahala ,,Hawaii,Endangered,
Labordia, pumila,,Kamakahala ,,Hawaii,Endangered,
Labordia, tinifolia, var. lanaiensis,Kamakahala ,,Hawaii,Endangered,
Labordia, tinifolia, var. wahiawaensis,Kamakahala ,,Hawaii,Endangered,
Labordia, triflora,,Kamakahala ,,Hawaii,Endangered,
Cenchrus, agrimonioides,,Kamanomano ,,Hawaii,Endangered,
Hibiscadelphus, distans,,Kauai hau kuahiwi,,Hawaii,Endangered,
Colubrina, oppositifolia,,Kauila,,Hawaii,Endangered,
Pteralyxia, kauaiensis,,Kaulu,,Hawaii,Endangered,
Hedyotis, coriacea,,Kio`ele,,Hawaii,Endangered,
Phyllostegia, racemosa,,Kiponapona,,Hawaii,Endangered,
Kanaloa, kahoolawensis,,Kohe malama malama o kanaloa,,Hawaii,Endangered,
Kokia, drynarioides,,Koki`o ,,Hawaii,Endangered,
Kokia, kauaiensis,,Koki`o ,,Hawaii,Endangered,
Kokia, cookei,, Cooke's,Koki`o,Hawaii,Endangered,
Hibiscus, arnottianus, ssp. immaculatus,Koki`o ke`oke`o,,Hawaii,Endangered,
Hibiscus, waimeae, ssp. hannerae,Koki`o ke`oke`o,,Hawaii,Endangered,
Myrsine ,juddii,,Kolea,,Hawaii,Endangered,
Myrsine ,knudsenii,,Kolea,,Hawaii,Endangered,
Myrsine, linearifolia,,Kolea,,Hawaii,Threatened,
Myrsine, mezii,,Kolea,,Hawaii,Endangered,
Bidens ,micrantha, ssp. kalealaha,Ko`oko`olau,,Hawaii,Endangered,
Bidens, wiebkei,,Ko`oko`olau,,Hawaii,Endangered,
Abutilon, menziesii,,Ko`oloa`ula,,Hawaii,Endangered,
Hedyotis, schlechtendahliana, var. remyi,Kopa,,Hawaii,Endangered,
Psychotria, grandiflora,,Kopiko,,Hawaii,Endangered,
Psychotria, hobdyi,,Kopiko,,Hawaii,Endangered,
Plantago, hawaiensis,,Kuahiwi laukahi,,Hawaii,Endangered,
Plantago, princeps,,Kuahiwi laukahi,,Hawaii,Endangered,
Alsinidendron, lychnoides,,Kuawawaenohu,,Hawaii,Endangered,
Isodendrion, pyrifolium,,Kula wahine noho,,Hawaii,Endangered,
Nototrichium, humile,,Kulu`i,,Hawaii,Endangered,
Panicum, niihauense,,Lau `ehu,,Hawaii,Endangered,
Schiedea, stellarioides,,Laulihilihi,,Hawaii,Endangered,
Lysimachia, daphnoides,, makanoe ,lehua,Hawaii,Endangered,
Acaena, exigua,,Liliwai,,Hawaii,Endangered,
Pritchardia, affinis,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, kaalae,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, munroi,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, napaliensis,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, remota,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, schattaueri,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, viscosa,,Lo`ulu,,Hawaii,Endangered,
Pritchardia, hardyi,,Na`ena`e,Lo`ulu,Hawaii,Endangered,
Eragrostis, fosbergii,, Fosberg's ,Love grass,Hawaii,Endangered,
Alectryon, macrococcus,,Mahoe,,Hawaii,Endangered,
Peucedanum, sandwicense,,Makou,,Hawaii,Threatened,
Hibiscus, brackenridgei,,native yellow hibiscus,Ma`o hau hele,Hawaii,Endangered,
Schiedea, apokremnos,,Ma`oli`oli ,,Hawaii,Endangered,
Schiedea, kealiae,,Ma`oli`oli ,,Hawaii,Endangered,
Cyrtandra, cyaneoides,,Mapele ,,Hawaii,Endangered,
Flueggea, neowawraea,,Mehamehame ,,Hawaii,Endangered,
Dubautia, kalalauensis,,Naenae ,,Hawaii,Endangered,
Dubautia, kenwoodii,,Naenae ,,Hawaii,Endangered,
Dubautia, herbstobatae,,Na`ena`e ,,Hawaii,Endangered,
Dubautia, imbricata, imbricata,Na`ena`e ,,Hawaii,Endangered,
Dubautia, latifolia,,Na`ena`e ,,Hawaii,Endangered,
Dubautia, pauciflorula,,Na`ena`e ,,Hawaii,Endangered,
Dubautia, plantaginea, magnifolia,Na`ena`e ,,Hawaii,Endangered,
Dubautia, plantaginea, ssp. humilis,Na`ena`e ,,Hawaii,Endangered,
Dubautia, waialealae,,Na`ena`e ,,Hawaii,Endangered,
Viola, kauaiensis, var. wahiawaensis,Nani wai`ale`ale ,,Hawaii,Endangered,
Gardenia, mannii,,Nanu ,,Hawaii,Endangered,
Scaevola, coriacea,, dwarf ,Naupaka,Hawaii,Endangered,
Lipochaeta, fauriei,,Nehe ,,Hawaii,Endangered,
Lipochaeta, kamolensis,,Nehe ,,Hawaii,Endangered,
Lipochaeta, lobata, var. leptophylla,Nehe ,,Hawaii,Endangered,
Lipochaeta, micrantha,,Nehe ,,Hawaii,Endangered,
Lipochaeta, tenuifolia,,Nehe ,,Hawaii,Endangered,
Lipochaeta, waimeaensis,,Nehe ,,Hawaii,Endangered,
Eugenia, koolauensis,,Nioi ,,Hawaii,Endangered,
Abutilon, eremitopetalum ,,,,Hawaii,Endangered,
Abutilon, sandwicense ,,,,Hawaii,Endangered,
Achyranthes, mutica ,,,,Hawaii,Endangered,
Alsinidendron, obovatum ,,,,Hawaii,Endangered,
Alsinidendron, trinerve ,,,,Hawaii,Endangered,
Alsinidendron, viscosum ,,,,Hawaii,Endangered,
Amaranthus, brownii ,,,,Hawaii,Endangered,
Asplenium, fragile var. insulare ,,,,Hawaii,Endangered,
Bonamia, menziesii ,,,,Hawaii,Endangered,
Chamaesyce, halemanui ,,,,Hawaii,Endangered,
Cyanea , crispa ,,,,Hawaii,Endangered,
Delissea, rhytidosperma ,,,,Hawaii,Endangered,
Delissea, undulata ,,,,Hawaii,Endangered,
Diellia, falcata ,,,,Hawaii,Endangered,
Diellia, mannii ,,,,Hawaii,Endangered,
Diellia, pallida ,,,,Hawaii,Endangered,
Diellia, unisora ,,,,Hawaii,Endangered,
Diplazium, molokaiense ,,,,Hawaii,Endangered,
Doryopteris, angelica ,,,,Hawaii,Endangered,
Gahnia, lanaiensis ,,,,Hawaii,Endangered,
Gouania, hillebrandii ,,,,Hawaii,Endangered,
Gouania, meyenii ,,,,Hawaii,Endangered,
Gouania, vitifolia ,,,,Hawaii,Endangered,
Hedyotis, degeneri ,,,,Hawaii,Endangered,
Hedyotis, parvula ,,,,Hawaii,Endangered,
Hesperomannia, arborescens ,,,,Hawaii,Endangered,
Hesperomannia, arbuscula ,,,,Hawaii,Endangered,
Hesperomannia, lydgatei ,,,,Hawaii,Endangered,
Keysseria ,erici ,,,,Hawaii,Endangered,
Keysseria ,helenae ,,,,Hawaii,Endangered,
Lipochaeta, venosa ,,,,Hawaii,Endangered,
Lobelia, gaudichaudii,,,,Hawaii,Endangered,
Lobelia, monostachya ,,,,Hawaii,Endangered,
Lobelia, niihauensis ,,,,Hawaii,Endangered,
Lobelia, oahuensis ,,,,Hawaii,Endangered,
Lysimachia, filifolia ,,,,Hawaii,Endangered,
Lysimachia, iniki ,,,,Hawaii,Endangered,
Lysimachia, lydgatei ,,,,Hawaii,Endangered,
Lysimachia, maxima ,,,,Hawaii,Endangered,
Lysimachia, pendens ,,,,Hawaii,Endangered,
Lysimachia, scopulensis ,,,,Hawaii,Endangered,
Lysimachia, venosa ,,,,Hawaii,Endangered,
Mariscus, fauriei ,,,,Hawaii,Endangered,
Mariscus, pennatiformis ,,,,Hawaii,Endangered,
Munroidendron, racemosum ,,,,Hawaii,Endangered,
Neraudia, angulata ,,,,Hawaii,Endangered,
Neraudia, ovata ,,,,Hawaii,Endangered,
Neraudia, sericea ,,,,Hawaii,Endangered,
Phyllostegia, glabra ,var. lanaiensis ,,,Hawaii,Endangered,
Phyllostegia, hirsuta ,,,,Hawaii,Endangered,
Phyllostegia, hispida ,,,,Hawaii,Endangered,
Phyllostegia, kaalaensis ,,,,Hawaii,Endangered,
Phyllostegia, knudsenii ,,,,Hawaii,Endangered,
Phyllostegia, mannii ,,,,Hawaii,Endangered,
Phyllostegia, mollis ,,,,Hawaii,Endangered,
Phyllostegia, parviflora ,,,,Hawaii,Endangered,
Phyllostegia, renovans ,,,,Hawaii,Endangered,
